Company Name,IDBB,CRI Company ID,Exchange Country,Domicile Country,Bloomberg Industry Code,Bloomberg Industry,12-2019,1-2020,2-2020,3-2020,4-2020,5-2020,6-2020,7-2020,8-2020,9-2020,10-2020,11-2020,12-2020
Multi Bintang Indonesia Tbk PT,116637,2727,Indonesia,Indonesia,10005,Consumer Non-Cyclical,0.03128132047331094,0.041522090468796645,0.059219068301986845,0.07097338878958746,0.046087508880579824,0.027335874133399794,0.01878283646917231,0.015374539058818559,0.013738042068078002,0.012575706775271622,0.01437866650952255,0.016017194443355014,0.01699057320757895
Alakasa Industrindo Tbk PT,117209,2762,Indonesia,Indonesia,10011,Industrial,49.24948159649373,79.95345330251348,122.97643814141422,167.52773386826664,118.19569379480647,77.84186757345745,56.00965004771043,40.555637122890786,31.51319352287015,26.434451176985135,28.162050248861945,29.842007936670267,32.13433065229904
Astra Graphia Tbk PT,117240,2777,Indonesia,Indonesia,10013,Technology,10.49581964320515,13.771871880549833,30.49190247129351,103.34225879637765,26.183718665119937,27.881559075816348,23.827705417028387,16.710833502323162,9.511374048635737,5.268768915935553,6.090113381077384,6.4794838707704585,6.66460846100577
Astra International Tbk PT,117241,2778,Indonesia,Indonesia,10004,Consumer Cyclical,36.865885356330836,61.29131770265401,94.5149608141872,139.0260274724334,101.95169296609602,67.86897603872283,46.58641947293102,36.77904453467348,30.918915867298598,26.47320278376177,27.33556175207954,28.52243754084764,29.246943040345514
Bakrie and Brothers Tbk PT,117258,2783,Indonesia,Indonesia,10002,Basic Materials,196.1939250047489,526.5971364697805,1103.8577173306196,1782.1834641146083,739.2743967912463,290.24240170793456,127.42369865395207,98.68971223680875,81.97123298333985,70.40196086031884,82.63045008485089,98.27456046711863,111.90719515226789
Bank Permata Tbk PT,117276,2789,Indonesia,Indonesia,10008,Financial,46.35027072350024,80.5257524870176,147.72946864794903,247.5351247190728,188.4501286766419,120.55489857176852,77.40580636219713,52.190002450583215,37.01209463817386,27.450119774136027,26.395924470740276,27.504611980298904,28.599092348909018
Bank Danamon Indonesia Tbk PT,117277,2790,Indonesia,Indonesia,10008,Financial,97.80653523752488,161.29992725473133,263.47713837860664,391.62983085503726,270.5329261972372,163.60068800714598,97.77571541760793,60.55496810093906,40.233230641846006,28.671234573069356,27.028873873474485,26.507024407072826,26.60484242710197
Bank Maybank Indonesia Tbk PT,117279,2792,Indonesia,Indonesia,10008,Financial,83.09937540697936,158.23057638212865,283.83846686479035,443.9984315592975,322.0328234488102,196.28058978471418,120.71078149488709,78.42884048694482,53.489825928716364,38.78352466822841,36.55074459800554,36.69902945685966,36.81629351941255
Berlina Tbk PT,117296,2800,Indonesia,Indonesia,10011,Industrial,30.438051621138854,49.327247092848715,75.88158716238873,105.96155632905801,75.300604990826,50.383874119101314,36.2963209202816,26.48516483418991,20.931513813255,17.374292729765923,18.333567268356582,19.408101123013108,20.45249725374645
Indo Kordsa Tbk PT,117310,2801,Indonesia,Indonesia,10002,Basic Materials,53.98551733700736,158.38480526156562,369.74465301234835,671.1239721506996,268.81903104849675,110.24063328346982,47.535181360063575,36.65504385834932,29.507432118121883,24.601378350115645,28.265314676612974,31.1208568636486,34.18083306376195
Charoen Pokphand Indonesia Tbk PT,117349,2813,Indonesia,Indonesia,10005,Consumer Non-Cyclical,8.379479326348468,14.83785318280095,25.190798873311707,38.47120493171542,24.59569349293961,14.584320483132185,9.163389922156613,7.101653692761042,5.955217482749224,5.144099681346719,5.46186065263412,5.855206155954658,6.21865468248168
Duta Anggada Realty Tbk PT,117459,2862,Indonesia,Indonesia,10008,Financial,43.084736687616974,81.3741013349671,141.8683423566328,226.271673714674,169.7545180776327,104.47501543628991,64.33166746553111,41.69859849717671,28.507071361540763,20.541480377938285,19.319335117598108,19.21931057292148,19.32561770381547
Eratex Djaja Tbk PT,117475,2865,Indonesia,Indonesia,10004,Consumer Cyclical,41.44824839714787,73.11258967827473,119.60936122534476,182.99948291528614,135.7225697415263,91.58429633822576,62.53778089694635,49.90489861967424,41.41525434977883,35.0799629755913,35.26542965736479,36.24829880029429,36.39909036666965
Gajah Tunggal Tbk PT,117519,2883,Indonesia,Indonesia,10004,Consumer Cyclical,71.42630325799992,116.1859329101425,177.1897577896541,254.9506470431542,186.81081478322935,124.07226218460889,83.78180432682305,65.88291600504698,54.13540759673515,46.51424310010849,47.20554738853678,48.47537236538548,49.25580308759557
Goodyear Indonesia Tbk PT,117546,2893,Indonesia,Indonesia,10004,Consumer Cyclical,42.96428103216823,51.79123525002944,79.0016100048913,111.68835904986902,79.5553983377741,51.85280767066035,34.80924583326268,27.265824060832603,22.318368743805035,18.866700485123662,18.983990397036578,19.612473322041488,19.90345433011189
Gudang Garam Tbk PT,117570,2901,Indonesia,Indonesia,10005,Consumer Non-Cyclical,18.524049704963467,24.64585148425401,29.874432020314284,32.90042135692415,16.312138083072675,8.143890509593112,4.913886449832626,3.8934674825068796,3.5269848678346003,3.368003231016349,3.9696944830865992,4.611555619103904,5.061418142936083
Hero Supermarket Tbk PT,117604,2919,Indonesia,Indonesia,10005,Consumer Non-Cyclical,69.37750436621012,139.55420157972236,235.6728541110931,322.72899557141506,198.54366223590864,110.32275684344208,64.34455427693383,49.94415350390492,42.94199407311577,39.351010523299614,44.40234156995709,49.205600881070225,52.23203214871379
Indah Kiat Pulp & Paper Corp Tbk PT,117636,2934,Indonesia,Indonesia,10002,Basic Materials,162.37495837485207,388.52693805242035,809.2163197042777,1382.675034321584,522.7906621884844,210.03094970176406,94.33147755112623,74.48967838898783,63.277967657358154,56.44297250603569,70.32963045371655,86.4793941124139,102.62882366965783
Indocement Tunggal Prakarsa Tbk PT,117637,2935,Indonesia,Indonesia,10011,Industrial,2.7952543046658413,4.297034518420534,6.31099186031604,8.158423233873853,5.53356093791623,3.5254335366047003,2.3880620680746496,1.6191628496110897,1.2066292265636709,0.9607508342191218,0.9666546520791024,0.9945612937528499,1.0141299292244017
Indo-Rama Synthetics Tbk PT,117638,2936,Indonesia,Indonesia,10004,Consumer Cyclical,135.68411220672573,180.25955989813417,229.83845481038622,286.4720341377146,201.96426628416745,134.50380469612293,94.56773885685307,78.10100567678685,68.36486322411666,61.165284569203884,64.86601244070455,69.9310610943696,74.90082318264486
Toba Pulp Lestari Tbk PT,117646,2939,Indonesia,Indonesia,10002,Basic Materials,120.10680903820288,295.42137489788075,621.7443967745675,1066.4995714526433,398.07486350512266,157.26545457824227,69.71788223259664,53.610325519628724,43.18530299963901,35.5878176598229,42.10513056701279,48.45891429033842,54.414660395950705
Japfa Comfeed Indonesia Tbk PT,117656,2942,Indonesia,Indonesia,10005,Consumer Non-Cyclical,71.0565772978814,116.36204862023462,176.83574422881435,249.07307910974995,149.5465302273823,85.85716011462408,53.601247820750636,42.722941445139405,36.85772131014438,32.52896447713501,35.12393746468757,38.441184375394435,42.22660075730137
